logFC	logCPM	LR	PValue	FDR
SNHG14	-5.42200662942377	5.84712317602933	23.3094892609636	1.37917886840955e-06	0.00424083710247254
SNORD114-27	6.01313789469002	2.2696382622267	23.1446265535927	1.50262516725969e-06	0.00440040202553032
THRAP3P3	-4.8175634165807	4.54273101070814	22.7729855167842	1.82310469969294e-06	0.00509624058280529
LINC01949	-9.49094743216586	8.59663813694165	22.5371723052196	2.0611626770328e-06	0.00551119053531145
SNORD114-18	5.60059283555559	3.22122755764179	21.9192362079506	2.84369080219211e-06	0.00721024050282675
MIR520G	-6.76641601766839	2.81805694090805	21.8611480916153	2.93108739423507e-06	0.00721024050282675
MIR518C	-6.39179424761976	3.23900823597255	21.7739585783255	3.06735340576992e-06	0.00725523460569379
SNORD114-20	6.38886258755339	4.51896576959413	21.3553106264192	3.81562330711647e-06	0.0085401170989844
SNORD114-16	5.41880894651519	3.84296097673381	21.3191342288512	3.88830984376017e-06	0.0085401170989844
MIR519E	-8.31309212639771	4.1359590165832	21.0948736404732	4.3709588737317e-06	0.00926914582126732
ZBTB46-AS1	-5.83767303725643	2.1515733470494	20.8544850195843	4.95530565286392e-06	0.0101580462346608
CYP24A1	-5.67077829143471	3.23418671874979	20.3000223188308	6.61998116839086e-06	0.0131327613514097
RNU6-698P	-6.9425824043171	6.04750401104225	20.133184046563	7.22325064148827e-06	0.0138817333734452
MIR543	5.41137467644061	3.709821991993	19.9097109908748	8.11868873042117e-06	0.0151297915013164
SNORD114-7	5.91630948665228	4.57908159621396	19.4580718910563	1.0283233709561e-05	0.0178804862520829
MIR525	-6.44231139690377	3.2734071954678	19.4261454055266	1.04565719436592e-05	0.0178804862520829
LINC00523	-5.90417909650105	2.95958308453376	19.4242478000361	1.04669664879343e-05	0.0178804862520829
MEST	-6.41494723246351	9.83824901101651	19.3445362318213	1.09131053166025e-05	0.0181387608313627
ENSG00000259995	-4.85879481629342	2.17338593039868	18.9652904904514	1.33118155073231e-05	0.0215434218439304
MIR411	5.5138646051693	2.64646929326087	18.4996711606302	1.69933616621888e-05	0.0267963527051611
MIR515-2	-5.86330433444115	3.92817198472412	18.4251985040808	1.76705721384443e-05	0.0271676211342512
GLIS3	-3.41002205634919	5.61637782240261	18.289463817422	1.89753767806336e-05	0.0284621395428148
MRGPRE	5.16460737151222	3.77299299465858	18.0006240761134	2.20832561491693e-05	0.0323351449205146
MIR526A2	-5.2183710081283	2.43891510185876	17.7503784220535	2.51867388614045e-05	0.0360217224767129
SNORD114-4	5.34660054266909	1.85511858878062	17.6587824249142	2.64292078414982e-05	0.0369396232690104
MIR1193	4.9301899945317	1.63333773014036	17.4692057393578	2.9199931172038e-05	0.0399052748270665
MIR515-1	-6.7562270303169	2.80768703657742	17.3615902698041	3.09008021352914e-05	0.041311685428612
ENSG00000269842	-5.07393413746793	5.75689201236593	17.3048014127956	3.18381367086513e-05	0.0416591857725242
RTL1	-5.46554718847911	3.7455248961521	17.1826009255192	3.39531918603879e-05	0.0434007935651347
SNORD114-19	5.19993886514236	2.42055311618763	17.147819338278	3.45806186329897e-05	0.0434007935651347
LINC02163	-5.32520659151312	1.84147127655134	17.0080922133174	3.72208466760481e-05	0.0457801525776721
MIR494	5.3283228564741	1.8443575700671	16.919175087312	3.90055669323753e-05	0.0470345952001415
MIR520A	-7.03594244042216	3.03065315585733	16.5265333031549	4.79740251439659e-05	0.0567366653519926
MIR523	-6.75527868530996	4.17145008578743	16.2717031631752	5.48773794465584e-05	0.0636763977585744
MIR498	-6.66846516930443	2.74164767232632	15.9406314986904	6.53604667784196e-05	0.0744358886285046
SNORD113-3	6.36181559069598	2.51657136525574	15.8659319328342	6.7991702387913e-05	0.0760246129718523
COPG2IT1	-5.40583054910151	4.31211561309262	15.8137880769935	6.98913351111944e-05	0.076753166547647
MIR518B	-5.39584344075915	3.33011130811763	15.7743054198855	7.13651538823431e-05	0.0769967409378304
MIR300	5.48049083670152	2.63686820754625	15.4557308016342	8.44604509976936e-05	0.089554289921658
ENSG00000238150	-5.14071589606704	1.73935160614365	15.3238924069988	9.05638257137781e-05	0.0943982059956937
CCDC71L	-3.38209863171201	4.22153993836963	14.8790401474293	0.000114629592740465	0.117491511572552
MIR520B	-5.53000782034559	3.12808927304724	14.5887030556432	0.000133713745193671	0.134805375441317
SNORD114-5	5.20732718738814	1.77731719615	14.2644779461866	0.000158834272438172	0.156500930265433
THSD7B	-4.78398964436859	1.56109273857519	14.246916789743	0.000160323239889464	0.156500930265433
DSCAM	-3.92832718221766	2.22284175359922	14.063772803134	0.000176714935210685	0.169343807101236
MIR335	-5.32254984454044	1.8389054250329	14.0397463787354	0.000178987080255949	0.169343807101236
MIR412	5.28647741136381	1.82077588467611	13.8965131685479	0.000193156476372131	0.178348798152247
PEG3	-5.56060657621114	9.76815129889065	13.8727960060212	0.000195609455038196	0.178348798152247
DSCAM-IT1	-3.9210105935158	1.65960613305858	13.8575286116765	0.000197205084301161	0.178348798152247
MIR518D	-5.32275327133494	3.31479521158197	13.7952358000489	0.000203852507693725	0.181688717654329
MIR520F	-7.10835368922099	3.08791878569002	13.677698304946	0.000217016440005539	0.190658243249437
MIR299	4.17833552769182	1.80792134569458	13.6266738929546	0.0002229945805788	0.193150996006127
LINC02583	-5.03934291767019	4.10918198771454	13.4919286224721	0.000239591812892286	0.204644684850692
PRKAG2	-2.81685069993739	7.46449395551189	13.3634094178518	0.00025658143005134	0.216154038154757
MIR656	4.35079410610007	1.37152998381932	13.1858986113796	0.000282063529370268	0.234410039583956
GNAS-AS1	-4.09547281381391	1.75487645074312	13.0099410383788	0.000309841697547489	0.254061929543673
MIR154	5.37683762578466	1.87135531975069	12.9407883988004	0.000321499581965797	0.260152385417534
ENSG00000255910	-3.52709383654669	4.03043754434859	12.7517158626815	0.000355682718767137	0.284012381077521
MIR1323	-6.20652156101069	2.40421486574378	12.7279948991818	0.00036022253933537	0.284012381077521
GPR1-AS	-4.01530859974337	6.61562150017145	12.6383298327166	0.000377917460595977	0.294191999895334
MIR516B2	-5.09517174639067	1.71740553020056	12.5655165153583	0.000392930128094123	0.302055212719155
HYMAI	-5.29843602310997	4.41319253876541	12.3511884241469	0.000440705838593706	0.334599106936244
MIR524	-4.8497894334333	1.59220877470699	12.2144414471339	0.000474210059233398	0.355645978326043
MIR517A	-5.66762084097235	2.77839434664808	12.0845057709868	0.000508425770511856	0.374291582836576
DLK1	-5.15548016893761	9.30284757971438	12.0741993163883	0.00051124415360292	0.374291582836576
SNORD114-25	5.62180743148003	2.01483263238362	11.9914733662922	0.000534445188572825	0.386674237727666
MIR369	4.68218041007807	1.51579155290844	11.9401609355281	0.000549367340069064	0.392848752087992
MIR520E	-5.74206975975027	2.08804733670434	11.8639932195848	0.000572297000925197	0.404541620263193
KRT18P39	4.83660383968035	1.58744007066376	11.7641631913855	0.000603820218382392	0.421974270341822
MIR518F	-6.28604895048693	2.46016847662739	11.4522160676023	0.000714087892260105	0.493426710092269
CPXM2	-3.66409730326374	5.07876118807091	11.4194721452718	0.000726783411509756	0.496619180455855
MIR517B	-4.70632352013634	1.52476661103918	11.1718682094669	0.000830469604099433	0.561233183658318
ENSG00000213777	4.49973636272781	1.43566117699862	11.0614819707648	0.00088139666332713	0.585817309976916
MIR889	6.03584403001795	2.28683739429205	11.03225515412	0.000895401550582914	0.585817309976916
MIR381HG	6.1121693094757	2.33989424548997	11.0322072628987	0.000895424682718626	0.585817309976916
ENSG00000279865	-5.17509184880346	1.75750671605038	10.9653093394849	0.000928334485815227	0.596315578781081
BTF3P10	5.29524070614296	1.82439475372169	10.9602663740432	0.000930864346206116	0.596315578781081
DNMT1	-3.01669707208328	6.23373508611705	10.8972203341039	0.000963086756427312	0.610597003574916
LINC00200	3.6146080323224	2.06134784668812	10.6055186916437	0.00112750623525487	0.707544678119428
ENSG00000286619	-3.98821802317112	3.21261503829546	10.5065147161783	0.00118954407961564	0.738935169779828
PFN1P1	7.53298131332917	3.44547175499416	10.4063473290785	0.00125582901578963	0.772309728130304
SLC22A18	3.98133205519779	1.24246570518197	10.326768548169	0.00131114562854091	0.796994832870497
MRGPRG-AS1	4.5924912424859	2.0545085752631	10.3076814682653	0.00132477617211878	0.796994832870497
ENSG00000201036	5.62852234037832	2.73367489949006	10.2879840136879	0.00133899302387583	0.796994832870497
ENSG00000279856	-3.57847498785277	1.11225466394978	10.2758776570376	0.00134780745095014	0.796994832870497
SNRPN	-5.00641746850682	1.6680627275871	10.1060244213545	0.00147785420623463	0.865572171190643
SNORD114-24	4.74347435391901	2.91876148037327	10.0593326717753	0.00151578121001613	0.879410498618602
RNU6-759P	-4.81720699463531	1.57653268087149	10.0145279758422	0.00155310215052195	0.892641832269147
MIR526A1	-6.04171629659934	2.28430202839247	9.97970959076967	0.00158274645386582	0.901256864998523
TMEM247	-5.28750366591849	2.50823367867525	9.86733873259491	0.00168238681223627	0.949205726411983
BEGAIN	-3.55839542037409	2.23840642999399	9.80359616943237	0.00174170940911873	0.973742229472577
NUDT12	-3.24714734404392	4.86371929348043	9.70231082997951	0.00184036439124549	1
MIR518E	-5.53645906121469	1.96557944437698	9.60148672757959	0.00194419893468798	1
ENSG00000234426	3.69422157584821	2.35732880540345	9.55581711527392	0.00199316769078068	1
SNORD113-1	5.76174747682812	2.71282957541613	9.50785923279517	0.0020459371089139	1
SCARNA9	5.52994619191008	1.96097982581984	9.43674202235467	0.00212680973985695	1
ZBTB18	-5.03584384689391	4.43320918983114	9.39168224577977	0.00217972103187739	1
MIR519B	-5.56649830905664	3.57112302804096	9.38532552585403	0.00218729210533956	1
RN7SKP200	-4.32679300314061	1.88597085561876	9.23620892449994	0.00237275694524942	1
TRAPPC1	5.03830048867699	2.20507128467113	9.2326129695535	0.00237742131449505	1
ENSG00000288947	6.4204210968152	2.5654455443463	9.21962512910594	0.00239434567012965	1
MIR521-2	-5.11178349863104	3.39202707998466	9.11546410538604	0.00253457643726203	1
RPS23P8	-6.47007316602851	2.58875327946925	9.10522384321843	0.0025488052378018	1
MIR487A	6.13266355433651	2.35876573441609	9.07205636538693	0.00259545035515428	1
SNORD113-2	5.31222897526604	2.98174914237825	9.06617758310055	0.00260380795182485	1
DNAAF1	3.7779903614489	5.33597868484847	8.91076033098183	0.00283495206274441	1
GRID2	-3.69223559873607	1.14931502931794	8.90441535041932	0.00284481945542643	1
IPO9-AS1	-3.67716142892759	1.14486089830596	8.84215694067275	0.00294351064789906	1
ENSG00000272426	-3.54188115857292	1.10626617035069	8.70604963647783	0.00317155744479297	1
EEF1A1P11	6.17552151396083	2.38096211439145	8.68217679375201	0.00321336955953815	1
RPL26P19	-6.02564619114036	2.27753811315091	8.54147780334195	0.0034714367690631	1
MIR323A	3.62547217059881	1.13062059171051	8.50850249607306	0.0035349084733932	1
ENSG00000253515	-3.36991595236512	2.87729820767959	8.38012135955926	0.00379347093042747	1
MIR544A	4.85486584551518	1.60173348564127	8.36734062444158	0.00382024255728367	1
MIR527	-4.65899794222584	2.08354890550361	8.30153671406454	0.00396115468230967	1
IFI6	-7.48987197501846	4.94710762560706	8.26136138846216	0.00404977470888002	1
MIR433	3.63162745758264	1.46856165308567	8.18635551794599	0.00422066292025443	1
MIR136	3.46689707714679	1.08094638467613	8.00385462135837	0.00466778784317092	1
MIR376C	3.60915862948563	1.53358153987352	7.93573125443514	0.00484680364082976	1
RPL29	6.45788244859716	4.46697497900964	7.92931739537644	0.00486401432927155	1
LINC01080	-3.41010437753145	1.07255831400375	7.8844567086176	0.00498614545275215	1
SNORD114-9	3.75252933013625	1.16668210567025	7.83728768944367	0.00511793408445848	1
ENSG00000260274	-3.75850031362021	1.16566525757709	7.81967743316882	0.00516804189062209	1
XAGE2	7.67352430027743	4.53680762009466	7.75452933268065	0.00535780025151578	1
RASA4B	5.84006325495092	2.17142053872826	7.72297258961722	0.00545225510517053	1
ENSG00000254707	3.11428415808921	0.99631041871014	7.67557645559579	0.0055973209524237	1
SNORD114-21	4.2819695283096	1.3466667118646	7.65441576822995	0.00566335284838859	1
RN7SL648P	6.69915569643376	2.76567145384503	7.64657041341371	0.0056880356720752	1
ACCS	-2.87833617394912	5.33113023572658	7.58512616113931	0.00588518449674546	1
ENSG00000232006	-3.20605543944956	1.02059499838243	7.57286211646165	0.00592536184165082	1
MAP1LC3B2	-4.05116493196735	1.26128353849718	7.53837282613288	0.00603985642572059	1
PI4KAP2	-6.05682141181636	3.09645491942553	7.52820279503384	0.00607404712791569	1
RNU6-980P	-2.86147873148475	0.954401129805511	7.42697818890541	0.00642531498876335	1
PI4KAP1	-6.15061256404641	3.17499488235849	7.39470781490568	0.00654160499315801	1
NUP62CL	3.34943388233311	1.42158748034145	7.38802722681181	0.00656594650597682	1
TIMM8BP2	4.38221655690264	1.38881264611745	7.35095747531095	0.00670270498754301	1
RPL32P18	-5.62179635322498	2.01174547267925	7.34505579471278	0.00672474449270748	1
TRGC1	4.54564765543848	2.38676918582864	7.28543703025616	0.00695158173522068	1
RPS6KA6	3.04581787433752	2.24026323209643	7.27023702145893	0.00701065512649017	1
MIR516B1	-5.44015630755976	1.9057580060549	7.22459566472003	0.00719113679859205	1
SNORD114-6	5.27456399616518	1.81182101727488	7.22045451803437	0.0072077454686466	1
ZNF667	2.64117713464237	4.69448728132968	7.21644702041811	0.00722385543997794	1
MRFAP1L1	-6.19027749084847	2.40775847866027	7.15621769404591	0.00747045602894697	1
RASA1	2.90274457013235	7.33347045786768	7.15579279985856	0.0074722259289745	1
TECRP1	-6.31041255144117	2.47041561660828	7.13145603503142	0.00757431960915263	1
ENSG00000258399	3.86635057296638	3.72934417924142	7.04459745450716	0.00795046908949551	1
RAP1BL	5.17292529440973	1.77207193123689	7.02546007959636	0.00803588221879406	1
ENSG00000286118	-5.0618816497391	3.71837665842971	6.99077313636787	0.00819309562556428	1
RPL10P9	-5.12211436961312	1.72760964675248	6.96297022430133	0.00832137778539126	1
MCCC1	-3.63661565605086	4.41034283765495	6.95384583834855	0.00836392392590498	1
ENSG00000274121	3.5516688263061	1.1094091308553	6.9412371641005	0.0084230835516836	1
AGBL3	-2.62024396107616	2.33557790646371	6.87477694642054	0.00874206673621167	1
PPIAP29	3.52918665701457	1.1028478701432	6.85791388459893	0.008824952025015	1
RPS20P20	-3.17968898765673	1.0137464288815	6.85698418324374	0.00882954502139573	1
ENSG00000279310	-5.32330009263203	1.83473743323071	6.85441643555403	0.00884224316207352	1
ENSG00000275871	-2.83679985860642	0.944740768732355	6.74883474465662	0.0093808931009574	1
POU2AF1	-2.89004027154961	0.959211513128647	6.70859079367393	0.00959495198614533	1
ENSG00000242299	-5.16500385414892	1.7488222457514	6.63023174860495	0.010026221912728	1
ENSG00000218426	-5.75329613228551	2.09345194177468	6.59904452765203	0.0102033507649072	1
ENSG00000289618	-5.89682088950679	2.18626424713615	6.57494058915562	0.0103424455468125	1
RNFT2	-3.37348552880366	3.85407182126673	6.57473005841246	0.0103436689674422	1
SLC25A3P3	3.12836801362065	0.99666495237968	6.48644872441422	0.0108699913385761	1
ENSG00000260997	2.85090102414083	1.18924905089463	6.47939397796243	0.0109132186201626	1
LINC01687	-2.8387402791196	2.01971020551645	6.46070935451191	0.0110285609857041	1
OR51A9P	2.79911759751664	0.937917505887511	6.44145532071694	0.0111487273966807	1
ENSG00000262039	-3.25477882355208	1.03241124723441	6.42254495566053	0.0112680569762172	1
RPS7P1	-5.57858459823046	2.00804576705819	6.34517088463797	0.0117701270490788	1
ENSG00000201710	5.217337609044	2.4670887352973	6.32451368846419	0.011908013850072	1
MIR654	4.86245327472992	1.59536051026205	6.31526300482702	0.0119702988420636	1
LAMP5	-4.90705995358056	1.616792387803	6.29445296426736	0.012111638992967	1
LIN28B	-3.45561051376559	6.9589792860672	6.2854857874688	0.0121730706944464	1
MIR496	3.66891083599514	1.56426899709711	6.21850346100959	0.0126421928671026	1
MIR323B	4.05639080096102	1.6439261561718	6.17112542118086	0.0129851978003619	1
LINC02398	-3.73068359515917	2.56417763275625	6.16388664376099	0.0130384409711972	1
OR10AB1P	2.84457327193007	1.6441288467257	6.15145234427684	0.0131304230546277	1
EXOSC6	5.54075895449382	1.96321536334222	6.13386913848632	0.0132616339783822	1
RACGAP1	-2.82358739630199	0.940395534275868	6.12798477025814	0.013305845268124	1
RHOBTB3	-2.19724900757533	10.6002642553426	6.1200213378369	0.0133659187358501	1
TRGJP2	4.39921025112473	2.32024734959219	6.11937379918362	0.0133708157949315	1
FKBP1C	-4.56726297239306	2.43775736455712	6.07338161660813	0.0137233977115787	1
SLC22A18AS	3.10738628064954	1.0029033195919	6.07270944493046	0.0137286209749924	1
ENSG00000234626	-3.59188894975538	2.28533041135727	6.03391936707688	0.0140335390663946	1
LINC02313	-2.88530853828887	0.955154643372459	6.0216749533774	0.0141312290828057	1
ENSG00000213598	-4.57233435369322	1.46137213708813	6.01622044313024	0.0141749720105588	1
LINC01550	-3.0942620808607	0.996905968828843	6.0108964425813	0.0142178026883125	1
DOC2GP	3.03014618523165	0.983431061476954	6.00225202219722	0.0142876294621117	1
LINC00900	-3.32354547428555	1.04577456586922	5.97904997438247	0.0144767982538153	1
ENSG00000287694	-3.86127960506524	1.1970686159874	5.97787143317733	0.0144864755472423	1
LINC00596	-2.60346683252342	0.902817229011083	5.93267332672209	0.0148626780256495	1
ARPC4	-3.39441652104066	4.18198726327339	5.92027136190355	0.0149676531267807	1
IL4I1	-2.77821853437319	0.92950479504799	5.90265728861367	0.0151180594722648	1
HGF	-3.57269685885268	7.19467368945363	5.89691960447129	0.0151673888812221	1
CNTNAP4	-3.55315513937078	1.10694124548263	5.87886327710218	0.0153237116760789	1
ENSG00000280115	3.09630807579337	0.999602352906929	5.87646339804431	0.0153446132373983	1
UPK1B	-3.80882096160456	1.18116530312923	5.85502882266728	0.0155326036512816	1
ENSG00000224513	3.61925737632529	1.12718993385309	5.84018399279027	0.0156641885503915	1
HNRNPA3P10	-3.61119556503505	1.12288811219381	5.82751153573016	0.0157774260944503	1
VWA2	-2.60417415020735	2.14437785667507	5.82230853976321	0.0158241625718418	1
SEC11B	3.66274526803649	1.13893924869134	5.78875291667919	0.0161290269845169	1
GPRIN2	2.05975608852954	2.14368461490452	5.76282995737018	0.0163686872764353	1
POLR2M	4.42456865604949	3.0011734416017	5.75782421563989	0.0164153871775837	1
NBPF8	5.26876043072124	1.82918862116119	5.74949305972526	0.0164934155656427	1
ACOT8	1.92397264905473	1.80573739532307	5.74796689147709	0.0165077508293575	1
CNDP1	2.64157151379542	0.917860754372714	5.72654982351581	0.0167102816122918	1
HMGB1P5	5.35223783935862	3.05841676243516	5.72028395742111	0.01677001808215	1
MIR516A1	-3.77384369677949	1.50614629254085	5.71646656232462	0.0168065196514056	1
MIR337	4.38263342059399	1.38630602648587	5.68943604648677	0.0170673386338563	1
ENSG00000250321	-5.2611057808197	1.80374333956193	5.6470544980997	0.0174847175411193	1
ENSG00000279358	-3.11397795670965	1.3196906510008	5.62565155851952	0.0176994852044652	1
CYP2J2	-3.56030782425982	5.01762948683014	5.61855269865465	0.0177713184797389	1
MIR382	4.08563271422179	1.27989205730917	5.60648412959308	0.0178941316732344	1
CSMD2	2.75411242145149	0.927147483601436	5.58712847725259	0.0180929329439776	1
CCDC144B	4.31960661766323	2.98068126078739	5.5813357134672	0.0181528725361177	1
ENSG00000189229	-2.07422512007642	5.45360075601981	5.57319147334063	0.0182374906003082	1
ENSG00000260895	2.59483535161539	1.16232211772688	5.57257487274953	0.0182439135989542	1
SNORD114-11	3.75797506542779	1.85621329980297	5.57236735202203	0.0182460758240671	1
ENSG00000277692	-2.65839663608565	0.915473843573726	5.55099976317168	0.0184701342165142	1
MIR519D	-3.59793753574892	4.39531813109711	5.53363773713194	0.0186542824187181	1
CTNNA2	-2.84485157502332	0.945621444921826	5.52106355019897	0.0187888323785546	1
LEMD1	-2.82370977638796	0.940385841855101	5.52088884782504	0.0187907088250521	1
FBXO36-IT1	-3.6267146443251	1.44456920848342	5.49659852194789	0.0190535010634617	1
DNAJB6P1	-5.0799558728187	1.72638798561676	5.49320139361016	0.0190905554677986	1
ENSG00000288067	-2.5327799267326	0.883075212069014	5.48193131590142	0.0192140188107179	1
KRT38	-3.53415565697142	1.10163239171773	5.47825516891839	0.0192544691269388	1
LAPTM4A-DT	2.54140944608259	1.36759070454566	5.46424332552922	0.0194094566414653	1
CBX3P2	2.55850957888525	1.57769458635132	5.44936722116259	0.0195754158342226	1
TPI1P1	-3.79366981897357	1.61431380738476	5.4165317131381	0.0199469452073495	1
MESTIT1	-2.50833662609947	1.34516645961338	5.39948801421261	0.0201426595692229	1
RN7SKP34	-3.00265358545697	1.22392034415225	5.33982906642839	0.0208435167983324	1
ENSG00000234337	-2.64837442220042	0.912013439951132	5.32166938146742	0.0210618244573228	1
MIMT1	-3.03386010179269	1.27928296194735	5.3202224638049	0.0210793201341913	1
ENSG00000232444	-2.64947604185308	0.912371289665333	5.31543927164734	0.0211372641361018	1
RPL7AP50	4.11336803358374	1.28476431285258	5.29306711957869	0.0214104795001263	1
ENSG00000249877	3.61637718183141	2.34949715406706	5.29101769831662	0.0214356897566943	1
OR51B8P	3.13108437477055	1.00369461725869	5.27816269805092	0.0215945237402147	1
TK2	-3.02563434739304	2.21309045672939	5.2734987802101	0.0216524510804062	1
ENSG00000287400	-3.73104299679798	1.56108360354729	5.2730813883046	0.0216576430586708	1
RPS3AP16	3.4179831943697	1.07232989071944	5.25500652597848	0.0218837192813027	1
RPS15AP10	-3.20903367379214	1.01951992690466	5.24116682770802	0.0220584744127258	1
ENSG00000272328	3.60131959166588	1.12163437059951	5.23843751139721	0.0220931080382835	1
SCARNA6	-2.62051131001562	0.90680991217592	5.20865970879309	0.0224746538687129	1
PRDM9	-2.61561155552174	0.905588103069942	5.20355695931147	0.0225407180150877	1
SV2C	-2.59966638724887	0.901590045427784	5.2031607993518	0.0225458554192246	1
MIR487B	4.29625844727435	1.76038253146721	5.20222597766174	0.022557983001266	1
PDE6B	-2.47728109400853	1.90316400385763	5.19321836833679	0.0226751870452118	1
TMSB15B-AS1	-2.66946377015701	0.916661774558874	5.18785956067153	0.022745213314122	1
TAF7L	3.33072391843697	1.05020795296788	5.1763685945065	0.0228961282583219	1
SNORA2A	4.05612810345453	1.26184556906781	5.16589360786037	0.0230346043069107	1
LYPLA1P3	-3.97968389326459	1.23926404298908	5.14662418988239	0.023291612183029	1
KCNK13	3.20465688369842	1.0207492675691	5.14014712903224	0.0233786667938124	1
ENSG00000271522	2.60982150886108	0.90593576430452	5.13263603019469	0.023480041965715	1
ENSG00000289691	2.57290949304726	0.898587343335247	5.11639558763047	0.0237007960935813	1
NAP1L5	-3.81972777345117	3.6055457455799	5.11308448158325	0.0237460670595991	1
ENSG00000201500	3.19851494404622	1.29118707305915	5.09631231382677	0.0239767656624431	1
CARS1	2.53638874513385	0.889073876934227	5.05111332103723	0.0246101205184867	1
HNRNPCP9	-3.15945996182451	1.0090063392989	5.04473915858664	0.0247008260381961	1
MYB	2.36644311420876	1.11049911536328	5.0406727880063	0.0247588724824776	1
LYPLA2P2	-3.96961933881196	1.23128471166468	5.04010266649883	0.0247670221376224	1
LINC00487	2.60666349361952	0.904911159030113	5.03192137929897	0.0248842774877964	1
MEMO1P1	-3.04854256247931	2.86590482875604	4.99085417723361	0.0254816273016577	1
TPT1P9	4.8814500678324	1.61255062413952	4.98580401225583	0.0255561067341076	1
PRR9	2.93335396624064	0.961700081782833	4.94620363562599	0.026148026228007	1
NAP1L1P3	-3.05785118903652	0.98725584521133	4.9314612728782	0.0263720079986992	1
SMIM1	-2.10091980519347	1.20920835980338	4.92359878766936	0.0264922776756259	1
MIR381	3.69870697759442	1.15194219217672	4.92338830019045	0.0264955052525906	1
MIR520D	-3.08107275684613	1.58669813750177	4.90297911554963	0.0268104053668282	1
CMTM5	3.38975083910717	1.06494362821214	4.89723597803278	0.0268997177894434	1
ZNF714	-3.05655798625025	2.61612530932717	4.88901685631738	0.0270280730957071	1
PHC1P1	3.9179207444131	1.2160475256105	4.88693022225623	0.0270607606176197	1
CYCSP41	-3.32148499544623	1.0468470458202	4.88575299022481	0.0270792203174575	1
PLEKHG4B	-2.17369025986747	5.51439130619386	4.88546005925432	0.0270838156837693	1
PDCD6-DT	-3.01121814720617	0.977496207478773	4.8759889393825	0.027232832066343	1
TM4SF19-AS1	-2.24130120797807	1.21815242792438	4.86251720239251	0.0274462637450149	1
ENSG00000253395	-3.09365351377287	0.995228205413657	4.85948432462056	0.0274945528648159	1
POLR2J3	-4.73808445849152	1.53805028573098	4.858848970959	0.0275046800809328	1
ENSG00000213067	-3.79222213120424	1.60885712389413	4.83092288719102	0.0279536633391434	1
ENSG00000286458	2.42489426734871	1.08539262471102	4.81379402740683	0.0282328206400034	1
LRFN5	-2.06073937051846	3.25273690696584	4.79721661078035	0.0285057542928995	1
HSP90AB3P	-3.48329668109499	2.19596014301223	4.78971374541276	0.0286301842888663	1
ENSG00000280132	3.08484160590065	0.994606937105659	4.78737651596489	0.0286690610698459	1
LINC02125	-3.08150769886552	0.992446466723102	4.76556963666388	0.0290344499307936	1
MIR4300HG	-2.57046569072522	2.08982832977469	4.7596385184625	0.0291346662198601	1
DSTNP4	3.08725651870348	0.995130777404849	4.75745317309038	0.0291716820890508	1
ENSG00000224819	-2.99218273560049	0.973031554599266	4.75559475510163	0.0292031989235248	1
ENSG00000220695	3.83352253589452	1.19563857239067	4.74603666741628	0.0293658553034529	1
ENSG00000230001	-3.44633446051036	1.75702910034673	4.74583085392593	0.0293693681295124	1
ENSG00000224280	2.86008386476678	1.47255244249584	4.73935944419867	0.0294800457414408	1
ENSG00000262003	2.85797593191517	1.42319402445196	4.73834543412421	0.0294974272320314	1
